         73044 function calls (68463 primitive calls) in 26.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/gzip.py:73(write32u)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/contextlib.py:141(__exit__)
        2    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/_compiler.py:573(_code)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/nifti1.py:2226(set_data_dtype)
        1    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/__init__.py:226(compile)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_dtype.py:334(_name_includes_bit_suffix)
     31/4    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
     31/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/openers.py:185(_get_opener_argnames)
       60    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/pathlib.py:358(__init__)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/contextlib.py:299(helper)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
      200    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/numeric.py:2443(<genexpr>)
      100    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1628(squeeze)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/contextlib.py:132(__enter__)
      120    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:457(__exit__)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/arrayproxy.py:487(is_proxy)
       80    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:489(_no_nep50_warning)
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/filebasedimages.py:313(make_file_map)
       20    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/numpy/_core/numerictypes.py:471(issubdtype)
       40    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/site-packages/nibabel/analyze.py:747(set_data_offset)
       40    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
      160    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     11/2    0.000    0.000    0.000    0.000 /home/chenxinpeng/anaconda3/envs/vos/lib/python3.12/re/_compiler.py:37(_compile)
